place_id,name,category,sub_category,latitude,longitude,address,vicinity,rating,review_count,website,phone,price_level,types,is_operational,search_zone,search_keyword,is_open_now,timestamp
ChIJ-c2qI-H1aS4R5DfcItzTqjo,66KBET,Affluence_Proxy,Country_Club,-6.199542,106.8947011,"Jl. Nilam Raya, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220, Indonesia","Jl. Nilam Raya, Rawamangun, Kota Jakarta Timur",,0,https://heylink.me/senju33.me,0821-8986-4220,,"point_of_interest, establishment",True,Central_Jakarta_Core,country club,True,2025-08-05T10:03:21.205849
ChIJxbGN6crvaS4R9hobrs8BvVs,Demangsewu,Affluence_Proxy,Country_Club,-6.3145726,106.7414167,"Jl. Aria putra gg. Swadaya RT. 12/10 No. 16, Kedaung, Kec. Pamulang, Kota Tangerang Selatan, Banten 15415, Indonesia","Jl. Aria putra gg. Swadaya RT. 12/10 No. 16, Kedaung, Kota Tangerang Selatan",,0,,0896-1054-5327,,"point_of_interest, establishment",True,South_Jakarta_Pondok_Indah,country club,True,2025-08-05T10:08:08.462172
ChIJYbtgI1f3aS4RR4WFjGPhnRg,Jual pulsa terdekat visha,Affluence_Proxy,Country_Club,-6.13852,106.7648636,"Jl. Kapuk Muara No.rt01/05, Kapuk Muara, Kecamatan Penjaringan, Jakarta, Daerah Khusus Ibukota Jakarta 14460, Indonesia","Jl. Kapuk Muara No.rt01/05, Kapuk Muara, Jakarta",,0,,0831-9625-6489,,"point_of_interest, establishment",True,West_Jakarta_Taman_Anggrek,country club,True,2025-08-05T10:16:42.989848
ChIJB1GEfgD3aS4RrRujFAzkB-U,ROYAL CLUB,Affluence_Proxy,Country_Club,-6.1958535,106.8051326,"Jl. K.S. Tubun No.91, RT.1/RW.4, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 11410, Indonesia","Jl. K.S. Tubun No.91, RT.1/RW.4, Petamburan, Kota Jakarta Pusat",5,1,,,,"point_of_interest, establishment",True,Central_Jakarta_Core,country club,,2025-08-05T10:03:20.728038
ChIJJTwNKmT1aS4ROBRh9G050yM,HERBUD KAGAMA 4X4,Affluence_Proxy,Country_Club,-6.199471,106.8958535,"Jl. Gurame No.25, RT.4/RW.6, Jati, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220, Indonesia","Jl. Gurame No.25, RT.4/RW.6, Jati, Kota Jakarta Timur",5,2,,0852-1583-2223,,"point_of_interest, establishment",True,Central_Jakarta_Core,country club,True,2025-08-05T10:03:20.880424
ChIJnz80lw4dai4RBSvTT17vWwg,Pluit dalam kost,Affluence_Proxy,Country_Club,-6.1298297,106.8005469,"Jl. Pluit Dalam No.19, RT.14/RW.16, Penjaringan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440, Indonesia","Jl. Pluit Dalam No.19, RT.14/RW.16, Penjaringan, Jkt Utara",5,3,,0812-9827-6120,,"point_of_interest, establishment",True,Central_Jakarta_Core,country club,True,2025-08-05T10:03:21.372262
ChIJA8HEvT8dai4RQE3nq96id0U,Golf House Proshop - Pantai Indah Kapuk,Affluence_Proxy,Country_Club,-6.1148598,106.7454385,"Pro Shop Pantai Indah Kapuk & Country Club, JL. Pantai Indah Barat, Kapuk, RT.7/RW.2, Kamal Muara, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 13530, Indonesia","Pro Shop Pantai Indah Kapuk & Country Club, JL. Pantai Indah Barat, Kapuk, RT.7/RW.2, Kamal Muara, Jkt Utara",4.6,93,,(021) 5882054,,"point_of_interest, establishment",True,West_Jakarta_Grogol,country club,,2025-08-05T10:15:26.853293
ChIJE396LfrzaS4Rjl3_YRZuOAc,Elite Club,Affluence_Proxy,Country_Club,-6.2200944,106.8344989,"Jl. Epicentrum Utama Raya No.kavling c22, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, Indonesia","Jl. Epicentrum Utama Raya No.kavling c22, Karet Kuningan, Kota Jakarta Selatan",4.5,804,https://eliteclub.co.id/,0822-9944-2230,,"gym, night_club, bar, health, point_of_interest, school, establishment",True,Central_Jakarta_Core,country club,True,2025-08-05T10:03:21.047612
ChIJn5uqaWLxaS4REvvp4oPUlmQ,The American Club Jakarta,Affluence_Proxy,Country_Club,-6.2554479,106.8070261,"Jl. Brawijaya IV No.20, RT.5/RW.3, Pulo, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160, Indonesia","Jl. Brawijaya IV No.20, RT.5/RW.3, Pulo, Kota Jakarta Selatan",4.4,229,http://americanclubjakarta.org/,(021) 7264560,,"point_of_interest, establishment",True,Central_Jakarta_South,country club,True,2025-08-05T10:05:14.021827
ChIJqZpZM1j3aS4Rp20faIZ-37U,Anwa Victory club,Affluence_Proxy,Country_Club,-6.209140499999999,106.7260336,"Jl. Taman Palem Raya, perumahan taman villa meruya Blok D.1 No.1, Meruya Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11650, Indonesia","Jl. Taman Palem Raya, perumahan taman villa meruya Blok D.1 No.1, Meruya Sel., Kota Jakarta Barat",4.4,695,,(021) 5858982,,"point_of_interest, establishment",True,West_Jakarta_Kebon_Jeruk,country club,True,2025-08-05T10:14:04.019131
