place_id,name,category,sub_category,latitude,longitude,address,vicinity,rating,review_count,website,phone,price_level,types,is_operational,search_zone,search_keyword,is_open_now,timestamp
ChIJ-c2qI-H1aS4R5DfcItzTqjo,66KBET,Affluence_Proxy,Country_Club,-6.199542,106.8947011,"Jl. Nilam Raya, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220, Indonesia","Jl. Nilam Raya, Rawamangun, Kota Jakarta Timur",,0,https://heylink.me/senju33.me,0821-8986-4220,,"point_of_interest, establishment",True,Central_Jakarta_Core,country club,True,2025-08-05T10:03:21.205849
ChIJB1GEfgD3aS4RrRujFAzkB-U,ROYAL CLUB,Affluence_Proxy,Country_Club,-6.1958535,106.8051326,"Jl. K.S. Tubun No.91, RT.1/RW.4, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 11410, Indonesia","Jl. K.S. Tubun No.91, RT.1/RW.4, Petamburan, Kota Jakarta Pusat",5,1,,,,"point_of_interest, establishment",True,Central_Jakarta_Core,country club,,2025-08-05T10:03:20.728038
ChIJJTwNKmT1aS4ROBRh9G050yM,HERBUD KAGAMA 4X4,Affluence_Proxy,Country_Club,-6.199471,106.8958535,"Jl. Gurame No.25, RT.4/RW.6, Jati, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220, Indonesia","Jl. Gurame No.25, RT.4/RW.6, Jati, Kota Jakarta Timur",5,2,,0852-1583-2223,,"point_of_interest, establishment",True,Central_Jakarta_Core,country club,True,2025-08-05T10:03:20.880424
ChIJnz80lw4dai4RBSvTT17vWwg,Pluit dalam kost,Affluence_Proxy,Country_Club,-6.1298297,106.8005469,"Jl. Pluit Dalam No.19, RT.14/RW.16, Penjaringan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440, Indonesia","Jl. Pluit Dalam No.19, RT.14/RW.16, Penjaringan, Jkt Utara",5,3,,0812-9827-6120,,"point_of_interest, establishment",True,Central_Jakarta_Core,country club,True,2025-08-05T10:03:21.372262
ChIJE396LfrzaS4Rjl3_YRZuOAc,Elite Club,Affluence_Proxy,Country_Club,-6.2200944,106.8344989,"Jl. Epicentrum Utama Raya No.kavling c22, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, Indonesia","Jl. Epicentrum Utama Raya No.kavling c22, Karet Kuningan, Kota Jakarta Selatan",4.5,804,https://eliteclub.co.id/,0822-9944-2230,,"gym, night_club, bar, health, point_of_interest, school, establishment",True,Central_Jakarta_Core,country club,True,2025-08-05T10:03:21.047612
ChIJIRV8lYTzaS4RAGZNvASXy_Y,PAGUYUBAN SINGA TEBET,Affluence_Proxy,Country_Club,-6.224925799999999,106.8581072,"1, Jl. Lapangan Ros Utara No.11, RT.1/RW.6, Bukit Duri, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12840, Indonesia","1, Jl. Lapangan Ros Utara No.11, RT.1/RW.6, Bukit Duri, Kota Jakarta Selatan",4.3,6,,0812-8517-9663,,"point_of_interest, establishment",True,Central_Jakarta_Core,country club,True,2025-08-05T10:03:20.573839
ChIJ97NKCC7xaS4RIJ_fonERwHY,Yayasan The British Int School,Affluence_Proxy,International_School,-6.223868599999999,106.7815224,"QQGJ+FJ2, Jl. Permata Intan, RT.14/RW.2, Bl U%2F1, Grogol Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12220, Indonesia","QQGJ+FJ2, Jl. Permata Intan, RT.14/RW.2, Bl U%2F1, Grogol Utara, Kota Jakarta Selatan",,0,,(021) 5304353,,"school, point_of_interest, establishment",False,Central_Jakarta_Core,british school,,2025-08-05T10:02:29.153077
ChIJT0vhNUXxaS4RZD0tFMmpDT8,British Council Indonesia Foundation - IELTS Test Centre,Affluence_Proxy,International_School,-6.2294728,106.805683,"Office 8 Building 9th Floor Sudirman Central Business District (SCBD) Lot 28 Jalan Jendral sudirman kav 52-53, Jl. Senopati Raya No.8B, RT.8/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia","Office 8 Building 9th Floor Sudirman Central Business District (SCBD) Lot 28 Jalan Jendral sudirman kav 52-53, Jl. Senopati Raya No.8B, RT.8/RW.3, Senayan, Kota Jakarta Selatan",4.3,360,https://www.britishcouncilfoundation.id/en/exam,(021) 30002480,,"point_of_interest, establishment",True,Central_Jakarta_Core,british school,True,2025-08-05T10:02:28.851493
ChIJVXRPkvfzaS4Rw-GXNloq_gM,The British Institute Kuningan,Affluence_Proxy,International_School,-6.210545,106.829596,"Jl. H. R. Rasuna Said No.Kav B, RT.5/RW.1, Kuningan, Karet Kuningan, Jakarta, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, Indonesia","Jl. H. R. Rasuna Said No.Kav B, RT.5/RW.1, Kuningan, Karet Kuningan, Kota Jakarta Selatan",2.8,5,http://www.tbi.co.id/,(021) 30027988,,"point_of_interest, establishment",True,Central_Jakarta_Core,british school,True,2025-08-05T10:02:29.013818
ChIJB2vSFAz1aS4RXArYaDcovQw,BMW Astra Used Car Sunter,Affluence_Proxy,Luxury_Dealer,-6.1400583,106.8845909,"Jl. Gaya Motor Raya No.1, Sunter II, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14330, Indonesia","Jl. Gaya Motor Raya No.1, Sunter II, Jkt Utara",,0,https://bmw.astra.co.id/pre-owned/,(021) 65835226,,"point_of_interest, car_dealer, store, establishment",True,Central_Jakarta_Core,bmw dealer,True,2025-08-05T10:03:47.820096
